input_text,label,explanation
x^2 + 4x + 4 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное выражение — это квадратное уравнение (полином второй степени), но не является ни линейным, ни специальным типом многочлена (например, мононом или биномиалом). Поэтому оно относится к категории ""other_poly"" (другие многочлены)."
alpha beta,nonsense,"Классификация: nonsense (бессмысленный)

Объяснение: Строка ""alpha beta"" состоит из двух слов, которые сами по себе имеют значение (греческие буквы), но в данном контексте не образуют осмысленного выражения или предложения. Поэтому она считается бессмысленной."
x^5 -6x^4 + 5x^3 + x^2 -7x + 7 = 0,quintic,"Классификация: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит член с переменной x в пятой степени (x^5), что определяет его как уравнение пятой степени. Такие уравнения называются квинтическими."
x^5 + 7x^4 -2x^3 + 7x^2 -4x -6 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит член с переменной x в пятой степени (x^5), что определяет его как уравнение пятой степени, или квинтическое уравнение."
x^5 + 5x^4 -2x^3 + 4x^2 -6x + 3 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит член с переменной x в пятой степени (x^5), что определяет его как уравнение пятой степени, или квинтическое уравнение."
gamma ipsum ???,nonsense,"Текст: gamma ipsum ???  
Классификация: бессмыслица  
Объяснение: строка содержит случайное сочетание слов и знаков вопроса, не образующих осмысленного предложения."
ipsum alpha lorem delta alpha,nonsense,"Классификация: бессмысленный текст (nonsense)  
Объяснение: В строке присутствуют отдельные слова, но они не образуют связного или осмысленного предложения. Слова взяты из разных контекстов и не создают логической структуры."
alpha world ipsum gamma,nonsense,"Классификация: nonsense (бессмысленный текст)  
Объяснение: Строка состоит из случайного набора слов, не образующих связного смысла или осмысленного высказывания."
lorem gamma ???,nonsense,"Класс: бессмыслица  
Объяснение: Текст содержит случайное сочетание слов и символов (""lorem gamma ???""), не образующих осмысленного предложения или фразы."
x^5 -2x^4 -5x^3 -4x^2 -x + 3 = 0,quintic,"Класс: квазиквадратное уравнение (quintic)

Объяснение: Уравнение содержит член с переменной в пятой степени (x^5), что делает его уравнением пятой степени, то есть квазиквадратным (quintic)."
x^5 + 7x^4 + x^3 -3x -6 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит переменную x в максимальной степени 5, что соответствует пятой степени многочлена. Такие уравнения называются квинтическими."
42 42 beta bar,nonsense,"Классификация: nonsense (бессмыслица)  
Объяснение: Строка содержит набор слов и чисел, которые не образуют осмысленного предложения или фразы. ""42 42 beta bar"" не имеет логической связи и не передает понятного смысла."
x^5 -3x^4 -4x^3 + 6x^2 -3x + 2 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), что означает, что это полиномиальное уравнение пятой степени, или квинтическое уравнение."
x^2 -2x + 3 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное выражение — это квадратное уравнение (полином второй степени) с переменной x. Метка ""other_poly"" подходит, так как это полином, но не линейный и не специального вида (например, не одночлен или не многочлен первой степени)."
x^2 + 5x + 1 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное выражение — это квадратное уравнение (полином второй степени), но оно не относится к специальным категориям, таким как линейные уравнения или многочлены с особыми свойствами. Поэтому оно классифицируется как ""other_poly"" (другой многочлен)."
ipsum ipsum gamma gamma lorem,nonsense,"Классификация: бессмыслица

Объяснение: В строке повторяются слова без логической связи и смысла, отсутствует связный контекст или осмысленное содержание."
